t,SUM_LOAD
9/4/2024 10:00,77463.7
9/4/2024 11:00,80837.6
9/4/2024 12:00,82304.3
9/4/2024 13:00,83644.6
9/4/2024 14:00,85504.3
9/4/2024 15:00,87428.6
9/4/2024 16:00,89733.5
9/4/2024 17:00,93049.8
9/4/2024 18:00,96019.5
9/4/2024 19:00,99596.6
9/4/2024 20:00,103107.3
9/4/2024 21:00,105678.3
9/4/2024 22:00,105237.7
9/4/2024 23:00,102752.2
9/5/2024 0:00,100506.8
9/5/2024 1:00,95275.7
9/5/2024 2:00,88465.9
9/5/2024 3:00,82119.2
9/5/2024 4:00,77139.9
9/5/2024 5:00,73683.2
9/5/2024 6:00,71396.6
9/5/2024 7:00,70253
9/5/2024 8:00,70762.2
9/5/2024 9:00,73659.4
9/5/2024 10:00,79461.5
9/5/2024 11:00,82837.1
9/5/2024 12:00,84871
9/5/2024 13:00,87019
9/5/2024 14:00,89833.3
9/5/2024 15:00,92995.9
9/5/2024 16:00,96664.5
9/5/2024 17:00,100711.8
9/5/2024 18:00,104429.2
9/5/2024 19:00,108316.9
9/5/2024 20:00,111888.7
9/5/2024 21:00,113487.5
9/5/2024 22:00,112240
9/5/2024 23:00,109055.9
9/6/2024 0:00,106455.1
9/6/2024 1:00,100857.7
9/6/2024 2:00,93648
9/6/2024 3:00,86918.6
9/6/2024 4:00,81534.3
9/6/2024 5:00,77489.7
9/6/2024 6:00,74822.6
9/6/2024 7:00,73396.7
9/6/2024 8:00,73552.6
9/6/2024 9:00,76314.4
9/6/2024 10:00,81750.7
9/6/2024 11:00,85226.5
9/6/2024 12:00,87776.3
9/6/2024 13:00,89993.5
9/6/2024 14:00,92533.3
9/6/2024 15:00,95268.6
9/6/2024 16:00,98800.6
9/6/2024 17:00,101916
9/6/2024 18:00,103999.8
9/6/2024 19:00,105419.1
9/6/2024 20:00,105976.7
9/6/2024 21:00,105853.3
9/6/2024 22:00,103265.6
9/6/2024 23:00,99893.1
9/7/2024 0:00,97131.8
9/7/2024 1:00,93238.6
9/7/2024 2:00,88238.4
9/7/2024 3:00,82833.4
9/7/2024 4:00,78003
9/7/2024 5:00,74182.4
9/7/2024 6:00,71697.7
9/7/2024 7:00,70101.8
9/7/2024 8:00,69666.9
9/7/2024 9:00,70102.3
9/7/2024 10:00,71804.1
9/7/2024 11:00,73663
9/7/2024 12:00,76826.8
9/7/2024 13:00,79716.2
9/7/2024 14:00,82018.2
9/7/2024 15:00,83525.2
9/7/2024 16:00,83963.6
9/7/2024 17:00,84077
9/7/2024 18:00,84355.1
9/7/2024 19:00,84169
9/7/2024 20:00,83916.8
9/7/2024 21:00,84256.1
9/7/2024 22:00,84014.9
9/7/2024 23:00,83249.9
9/8/2024 0:00,82598.3
9/8/2024 1:00,80029.4
9/8/2024 2:00,76219.1
9/8/2024 3:00,72166
9/8/2024 4:00,68628.3
9/8/2024 5:00,65945.1
9/8/2024 6:00,64253.6
9/8/2024 7:00,63140.4
9/8/2024 8:00,62651
9/8/2024 9:00,63119.1
9/8/2024 10:00,64276.7
9/8/2024 11:00,65509.2
9/8/2024 12:00,67446.8
9/8/2024 13:00,68919.7
9/8/2024 14:00,69708.2
9/8/2024 15:00,70720.5
9/8/2024 16:00,71940.8
9/8/2024 17:00,72993.9
9/8/2024 18:00,74562.3
9/8/2024 19:00,76670.1
9/8/2024 20:00,79779.7
9/8/2024 21:00,82551.4
9/8/2024 22:00,83693.4
9/8/2024 23:00,83775.6
9/9/2024 0:00,84129.7
9/9/2024 1:00,80553
9/9/2024 2:00,76003.6
9/9/2024 3:00,71545.3
9/9/2024 4:00,68272.1
9/9/2024 5:00,66072
9/9/2024 6:00,64946.9
9/9/2024 7:00,64651.6
9/9/2024 8:00,65858.5
9/9/2024 9:00,69243.6
9/9/2024 10:00,75515.2
9/9/2024 11:00,79069.4
9/9/2024 12:00,80452.3
9/9/2024 13:00,81130.6
9/9/2024 14:00,82355
9/9/2024 15:00,83320.5
9/9/2024 16:00,84750.8
9/9/2024 17:00,86696.8
9/9/2024 18:00,88501.5
9/9/2024 19:00,90944.9
9/9/2024 20:00,94070.8
9/9/2024 21:00,96693.7
9/9/2024 22:00,96883.3
9/9/2024 23:00,95599.3
9/10/2024 0:00,94305.5
9/10/2024 1:00,89536.5
9/10/2024 2:00,83541.1
9/10/2024 3:00,77787.3
9/10/2024 4:00,73516.2
9/10/2024 5:00,70535.5
9/10/2024 6:00,68771.1
9/10/2024 7:00,67996.2
9/10/2024 8:00,68652.1
9/10/2024 9:00,71832.8
9/10/2024 10:00,77538.4
9/10/2024 11:00,81065.1
9/10/2024 12:00,82689.1
9/10/2024 13:00,84017.3
9/10/2024 14:00,85933.4
9/10/2024 15:00,88130.4
9/10/2024 16:00,90787
9/10/2024 17:00,94194.7
9/10/2024 18:00,97767.5
9/10/2024 19:00,101436.1
9/10/2024 20:00,105223
9/10/2024 21:00,107890.7
9/10/2024 22:00,107551.4
9/10/2024 23:00,104781.2
9/11/2024 0:00,102002.2
9/11/2024 1:00,95563.5
9/11/2024 2:00,88793.5
